DEUX-SEVRES;2014; 208421 ; 227588427 
SOMME;2014; 317734 ; 408422816 
TARN;2014; 222625 ; 240650133 
TARN-ET-GARONNE;2014; 146288 ; 146927664 
VAR;2014; 642967 ; 1093318530 
VAUCLUSE;2014; 328625 ; 428324500 
VENDEE;2014; 374148 ; 409391478 
VIENNE;2014; 240289 ; 292341162 
HAUTE-VIENNE;2014; 213609 ; 267060871 
VOSGES;2014; 215173 ; 224644177 
YONNE;2014; 198248 ; 251388555 
TERRITOIRE DE BELFORT;2014; 76662 ; 117348016 
ESSONNE;2014; 683063 ; 1626874356 
HAUTS-DE-SEINE;2014; 897661 ; 4477207714 
SEINE-SAINT-DENIS;2014; 860372 ; 1043899332 
VAL-DE-MARNE;2014; 766734 ; 1987770571 
VAL-D'OISE;2014; 648116 ; 1270842856 
GUADELOUPE;2014; 247042 ; 163009993 
MARTINIQUE;2014; 237558 ; 180567887 
GUYANE;2014; 101280 ; 66383599 
LA REUNION;2014; 478291 ; 327486196 
MAYOTTE;2014; 69564 ; 19201144 
Direction des Impôts des non résidents;2014; 219185 ; 671953183 
CORSE-DU-SUD;2015; 87798 ; 145345552 
HAUTE-CORSE;2015; 97819 ; 131500183 
AIN;2015; 337175 ; 566234216 
AISNE;2015; 300459 ; 330734234 
ALLIER;2015; 204982 ; 210466242 
ALPES-DE-HAUTE-PROVENCE;2015; 98758 ; 117278556 
HAUTES-ALPES;2015; 84223 ; 99080328 
ALPES-MARITIMES;2015; 700597 ; 1568732468 
ARDECHE;2015; 189803 ; 198363899 
ARDENNES;2015; 155808 ; 155904537 
ARIEGE;2015; 91453 ; 80287983 
AUBE;2015; 172315 ; 243929852 
AUDE;2015; 214716 ; 210934571 
AVEYRON;2015; 160968 ; 168343770 
BOUCHES-DU-RHONE;2015; 1170421 ; 2163677082 
CALVADOS;2015; 389913 ; 559912612 
CANTAL;2015; 88091 ; 82897964 
CHARENTE;2015; 206627 ; 244622735 
CHARENTE-MARITIME;2015; 384465 ; 523969287 
CHER;2015; 181248 ; 209641370 
CORREZE;2015; 142155 ; 163160529 
COTE-DOR;2015; 293962 ; 503040080 
COTES-DARMOR;2015; 343808 ; 390136573 
CREUSE;2015; 73295 ; 57217765 
DORDOGNE;2015; 248266 ; 248749512 
DOUBS;2015; 294152 ; 499204484 
DROME;2015; 289489 ; 367043955 
EURE;2015; 329893 ; 450183125 
EURE-ET-LOIR;2015; 238435 ; 351586439 
FINISTERE;2015; 518489 ; 652384200 
GARD;2015; 425851 ; 543052807 
HAUTE-GARONNE;2015; 739047 ; 1477819871 
GERS;2015; 113298 ; 122070485 
GIRONDE;2015; 890191 ; 1541069848 
HERAULT;2015; 655046 ; 968223956 
ILLE-ET-VILAINE;2015; 552424 ; 823963064 
INDRE;2015; 133701 ; 131257180 
INDRE-ET-LOIRE;2015; 338713 ; 502303983 
ISERE;2015; 682630 ; 1162235359 
JURA;2015; 148656 ; 192746896 
LANDES;2015; 238664 ; 284725426 
LOIR-ET-CHER;2015; 189939 ; 241734739 
LOIRE;2015; 419077 ; 507455749 
HAUTE-LOIRE;2015; 130599 ; 122796123 
LOIRE-ATLANTIQUE;2015; 746908 ; 1162745283 
LOIRET;2015; 373179 ; 581356880 
LOT;2015; 104369 ; 113782919 
LOT-ET-GARONNE;2015; 194314 ; 200943035 
LOZERE;2015; 44697 ; 40710971 
MAINE-ET-LOIRE;2015; 428231 ; 489664523 
MANCHE;2015; 283220 ; 305638800 
MARNE;2015; 309750 ; 584016530 
HAUTE-MARNE;2015; 103847 ; 99760122 
MAYENNE;2015; 164956 ; 168441730 
MEURTHE-ET-MOSELLE;2015; 398196 ; 545556603 
MEUSE;2015; 106052 ; 107085335 
MORBIHAN;2015; 427641 ; 539092974 
MOSELLE;2015; 576048 ; 705507482 
NIEVRE;2015; 127229 ; 130540050 
NORD;2015; 1403398 ; 1945210457 
OISE;2015; 448278 ; 739367367 
ORNE;2015; 162543 ; 153093684 
PAS-DE-CALAIS;2015; 803345 ; 838785039 
PUY-DE-DOME;2015; 371947 ; 536388307 
PYRENEES-ATLANTIQUES;2015; 393591 ; 606924148 
HAUTES-PYRENEES;2015; 138521 ; 146363617 
PYRENEES-ORIENTALES;2015; 281877 ; 327406586 
BAS-RHIN;2015; 612340 ; 1112677495 
HAUT-RHIN;2015; 415995 ; 903888387 
RHONE;2015; 994482 ; 2224314727 
HAUTE-SAONE;2015; 134021 ; 133343375 
